AS12222,AKAMAI
AS16625,AKAMAI
AS16702,AKAMAI
AS17204,AKAMAI
AS17334,AKAMAI
AS18680,AKAMAI
AS18717,AKAMAI
AS20189,AKAMAI
AS20940,AKAMAI
AS21342,AKAMAI
AS21357,AKAMAI
AS21399,AKAMAI
AS22207,AKAMAI
AS22452,AKAMAI
AS23454,AKAMAI
AS23455,AKAMAI
AS23903,AKAMAI
AS26008,AKAMAI
AS30675,AKAMAI
AS31107,AKAMAI
AS31108,AKAMAI
AS31109,AKAMAI
AS31110,AKAMAI
AS31377,AKAMAI
AS32787,AKAMAI
AS33905,AKAMAI
AS34164,AKAMAI
AS35204,AKAMAI
AS35993,AKAMAI
AS35994,AKAMAI
AS36029,AKAMAI
AS36183,AKAMAI
AS39836,AKAMAI
AS49249,AKAMAI
AS49846,AKAMAI
AS393234,AKAMAI
AS393560,AKAMAI
AS16509,AMZN
AS6432,GFBR
AS19448,GFBR
AS16591,GFBR
AS13949,GOOG
AS15169,GOOG
AS16550,GOOG
AS19527,GOOG
AS22577,GOOG
AS22859,GOOG
AS26684,GOOG
AS26910,GOOG
AS36039,GOOG
AS36040,GOOG
AS36384,GOOG
AS36385,GOOG
AS36492,GOOG
AS40873,GOOG
AS394507,GOOG
AS394639,GOOG
AS394699,GOOG
AS395973,GOOG
AS396982,GOOG
AS2906,NFLX
AS40027,NFLX
AS55095,NFLX
AS136292,NFLX
AS394406,NFLX
AS11344,YOUTUBE
